runIndex,timestamp,mode,sender,txHash,userOpHash,prepareLatencyMs,submitToLandMs,totalWallClockMs,gasUsed,effectiveGasPriceWei,actualFeeWei,actualFeeNative,actualFeeUSD,userPaysWei,userPaysNative,userPaysUSDC,userPaysUSD,sponsorPaysWei,sponsorPaysNative,sponsorPaysUSD,success,error
1,2026-04-22T16:15:38.475Z,unsponsored,0xA61Dd89a50CA4Cc3FD1ECe44cA666B138a2900AB,0xdbabd09d98ae1f2152981bdb5e87bfd263843288eca444a24ad9761aabfb1eed,0x4aad3c59707c68879603bdfd46ed1a1cf7d80ad14b5f80dfa43fe256ae57d410,0,5539,5539,87407,217620304879,19021537988558753,0.01902153798855875,0.013315076591991125,19021537988558753,0.01902153798855875,0,0.013315076591991125,0,0,0,true,
1,2026-04-22T16:16:33.155Z,verifying,0xA61Dd89a50CA4Cc3FD1ECe44cA666B138a2900AB,0x22006d0aa23374ea41f7f4aa33144480a90a074b4024a1e72f316237a1ba17b4,0xc66c60a39d6aefda3a80b57e8fef648643fda9cc6ed4aa7e6fbe6c2fa8e04fa8,43884,7218,51579,103484,278341149915,28803855557803860,0.02880385555780386,0.0201626988904627,0,0,0,0,28803855557803860,0.02880385555780386,0.0201626988904627,true,
1,2026-04-22T16:16:45.041Z,erc20,0xA61Dd89a50CA4Cc3FD1ECe44cA666B138a2900AB,0x000e542414524c11e1dab72c43f3bbee94eca0d48de3c0b9ff62612cfa10068c,0xbce0b42cf50b6e5993b57b00e7a9aafba64ceb6de7bcabbf1eb3a1095d080417,912,7218,8516,169022,311776901766,52697155490292852,0.05269715549029285,0.03688800884320499,0,0,0.005935,0.005935,52697155490292852,0.05269715549029285,0.03688800884320499,true,
2,2026-04-22T16:26:52.703Z,unsponsored,0xA61Dd89a50CA4Cc3FD1ECe44cA666B138a2900AB,0x85281eb6ec23aadafbb05673a4e3734502d0e51b7b2796e6985a266b75318792,0xafda701fb9b68a92cc93e2784d18adaa929244b8ddabcb65f6483547cd740b5c,0,7628,7628,87395,213385637394,18648837780048630,0.01864883778004863,0.013054186446034042,18648837780048630,0.01864883778004863,0,0.013054186446034042,0,0,0,true,
2,2026-04-22T16:27:04.714Z,verifying,0xA61Dd89a50CA4Cc3FD1ECe44cA666B138a2900AB,0x380c4081d5f4c7b4cd747a291024dcda4e2d8c90af637637336bb67b0a5bcb31,0x49df1bab1d5d6a3aec0423fd09e3e2b431db8a1b3c1b9a02285b62a4f52add82,1261,7274,8816,103436,224578655285,23229517788059260,0.02322951778805926,0.01626066245164148,0,0,0,0,23229517788059260,0.02322951778805926,0.01626066245164148,true,
2,2026-04-22T16:27:16.712Z,erc20,0xA61Dd89a50CA4Cc3FD1ECe44cA666B138a2900AB,0x9f5901c956cf00e7c662dbb570d35b94912bc26d54054fd25bbd2e5dfb529953,0xae327616269e75b8ef3978ff1faa293460cc004b5efc9bc6d5f6b17a0de02277,743,7676,8673,169034,260593242829,44049118208357186,0.044049118208357184,0.030834382745850028,0,0,0.004951,0.004951,44049118208357186,0.044049118208357184,0.030834382745850028,true,
1,2026-04-22T19:40:40.796Z,unsponsored,0xA61Dd89a50CA4Cc3FD1ECe44cA666B138a2900AB,0xee0524fd738e80a68de56967bd5b4afd79657d9b35841b619c2dfdb9a3072a9b,0xfbf75eb160e4ead88a19a1bfefa9e07b4bf0097808cdad272530a69eb1bcc497,0,5385,5385,87407,256735837918,22440509384898626,0.022440509384898624,0.015708356569429035,22440509384898626,0.022440509384898624,0,0.015708356569429035,0,0,0,true,
1,2026-04-22T19:40:47.987Z,verifying,0xA61Dd89a50CA4Cc3FD1ECe44cA666B138a2900AB,0x9727e1c65c97b16a3b6f3f3eea1771544c648112e10ea7b645517bff55190fd4,0xab7ff495ec6447d93b43aa1d2b7a2c69d7bb72201ae81e25470ad33f25cafe1f,952,2818,4043,103472,269257162087,27860577075466064,0.027860577075466065,0.019502403952826243,0,0,0,0,27860577075466064,0.027860577075466065,0.019502403952826243,true,
1,2026-04-22T19:40:59.318Z,erc20,0xA61Dd89a50CA4Cc3FD1ECe44cA666B138a2900AB,0x9b9d89c13674c37835221f75b10ba481e73d43e9859e680789f9e7b863b0864a,0xad4cc3fb23460456b1f865756a8e3f8f0f14ee66700f70da6f2f2f7969fe4a2c,664,5140,6126,169022,296111382457,50049338085647054,0.05004933808564706,0.03503453665995294,0,0,0.005583,0.005583,50049338085647054,0.05004933808564706,0.03503453665995294,true,
2,2026-04-22T19:51:04.881Z,unsponsored,0xA61Dd89a50CA4Cc3FD1ECe44cA666B138a2900AB,0x4a2fee3ae5980d3559ce32b2a0402f4a574c7eae619cbfa48eb473bf9448ba54,0xaedfd89061535fc8b0b0aed6eead8514da40bd1683da7843fd9bc28269f76eb1,0,5366,5366,87407,316324479677,27648973795127539,0.02764897379512754,0.019354281656589277,27648973795127539,0.02764897379512754,0,0.019354281656589277,0,0,0,true,
2,2026-04-22T19:51:16.933Z,verifying,0xA61Dd89a50CA4Cc3FD1ECe44cA666B138a2900AB,0xdff24fea509b2b40b50062b0ff8f383319ed59083418421207607eb5821bf528,0x0ca01079b3df7bfadd98bb289536e9f20e9cf3afa21b7b4917c23cdefff533c6,1224,7253,8906,103460,339094224294,35082688445457240,0.03508268844545724,0.024557881911820068,0,0,0,0,35082688445457240,0.03508268844545724,0.024557881911820068,true,
2,2026-04-22T19:51:26.386Z,erc20,0xA61Dd89a50CA4Cc3FD1ECe44cA666B138a2900AB,0x5b814c1d567c0973d8f2799f713d43d845e52fbbedd05bb680cb6412aa4756f4,0x45454e36a996b14cf63db2af87ff59c4e3c233d97af2666495aadb354005d859,724,5054,6057,169034,384141863567,64933035766184278,0.06493303576618428,0.04545312503632899,0,0,0.007226,0.007226,64933035766184278,0.06493303576618428,0.04545312503632899,true,
